overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"04 14, 2015",A3I77GG8VSH2XY,B0012IV3PU,{'Format:': ' DVD'},Stephen M. Bailey,We love this whole series. Well made by the History Channel.,Well Made,1428969600,,
5.0,True,"01 8, 2016",A2Y4KYGCI58L3X,B009PN18R2,{'Format:': ' DVD'},David Michael Yost,Great!,Five Stars,1452211200,,
4.0,False,"12 27, 2010",A2MSGSJ53YZEIX,B00009W2GQ,{'Format:': ' DVD'},Ken Dayton,"The first time I saw this, I thought, ""meh.""  This film grew on me after repeat viewings, though.  It's not as good as the original, but I would still recommend it.",Not as bad as people claim,1293408000,,
5.0,True,"11 30, 2016",A3NJC9UBKFB81M,B00000K3AM,{'Format:': ' Blu-ray'},S. Wright,Very clear copy. Well worth the price.,Five Stars,1480464000,,
3.0,True,"09 4, 2014",A2XT5EZAYFI5X6,B00GQQ77IU,{'Format:': ' Amazon Video'},Mz. Fe-fe,"Good movie, but...some what predictable @ certain points thruout film.",Three Stars,1409788800,,
4.0,False,"09 22, 2014",A2ZP3YCNP5CVPU,B000BYY0UQ,{'Format:': ' Blu-ray'},William Jergensen,"None of the movie versions of this book are completely TRUE  to the book. As a matter of fact NONE of the movie adaptations of Verne books are true to the book. Actually when it comes to books to movies,  NONE can be considered TRUE to the book!  Soooooo, what did you expect?  Of the three movies, this one has the best Nemo. Stewart is great in any role. The effects are the best of the three.",Variation on a theme,1411344000,,
4.0,True,"09 16, 2015",AIBCRN6U376B5,B00YQJRYGY,{'Format:': ' Blu-ray'},Colin A.,good,Four Stars,1442361600,,
3.0,True,"04 23, 2014",AUY8GE1C1DO92,B00AW9MB4W,{'Format:': ' Amazon Video'},Aubrey,"This movie was okay, for most of the movie, I thought it was a pretty good retelling of the book.  But I felt like they missed such an important monologue at the end (the bug queen's forgiveness speech).  It was such an important part of the book, I thought, and would have been easy to add to the movie.  It is the part of the book that gives some closure and meaning.  Without it, I felt the movie was hollow.",Okay,1398211200,,
5.0,False,"01 22, 2018",A2V4WP00PZHCP0,B001HN69B8,{'Format:': ' DVD'},Robert Sercombe,"Terry Gilliam has/had the luck/misfortune, by the evidence of his films, to be (1) a wildly liberated visionary genius, (2) a cynical, even diabolical, pessimist, (3) an anti-suit/anti-studio rebel and (4) a technical perfectonist -- albeit with a greater arsenal of ridicule, rather than Ken Russell's intoxicated rapture with Art, to make the flames of perdition worth it for his characters.

I once lent Gilliam's magnum opus Brazil to a dear friend, a stunningly beautiful foreign woman with a completely normal psychological profile and a happy, healthy upbringing (and a conventional, optimistic, aspirational complaisance vis-a-vis the world's sinkholes of damnable exploitation and indifference). She couldn't bring herself to watch it to the end: ""It's too sarcastic!""

Brazil was *gloriously* sarcastic of course, a gorgeous banquet of satirical savagery, eyes wide open to the way silly, all-too-common dreams ruin our common reality (somewhat like Ken Russell's masterpiece The Music Lovers -- which she also, poor beautiful dear, found off-putting).

So this, Gilliam's last fully realized jewel case of phantasmagorical mania and withering British mockery, goes light and whimsical in tone, as though anticipating my lovely friend's reservations, with no urgent mass indictment of privileged delusion; a bit less innocent than The Time Bandits; though not one jot less of free-associational fancy than The Adventures of Baron Munchausen. Tom Waits fans with a nostalgia for color and deadpan silliness should enjoy (Waits himself guesting as a demimonde Mephostophilis); the wan and wistful who still daydream in reverse will smile; cinephiliac adventurers should chortle and clap. There isn't a flaw in this dream; there wouldn't have been a flaw in the execution if Heath Ledger hadn't died, but the painful gap between dreams and Earth anchors the story anyway, so the brotherly, almost-impersonations of Ledger by Johnny Depp, Jude Law and Colin Farrell to fill out the shooting schedule do not in fact kill it off, but make its point truer.  A lovely madness reigns here, Christopher Plummer game for damn near anything true to itself, with an on-the-nose supporting cast.  One grows more grateful with age for risks rarely taken like this.  Gilliam will treat you Special and dazzle you with things other mortals need hallucinogens to think up and most conventional moviegoers would need drink to assimilate.  As piercing  (in its sweet way) as any Errol Morris documentary, and even more welcome.",Glory for the rest of us!,1516579200,,
4.0,False,"05 2, 2006",A2SRP2HP75CUVD,B0019CB5T8,,FULCI_LIVES,"Looking back into my childhood there were certain films which really scared the living hell out of me. Movies like the Changeling, the Exorcist and even the original House on Haunted Hill gave me the creeps and kept me awake in bed late at night. When you look at those films today they are pretty outdated but still have a place in our hearts. Sadly very few movies today can actually scare me and I know its like that for every long time horror viewer. As we get older we mature as human beings and our childhood fears die out. Thats why as we are older it takes a lot more to even make the hairs on our arms stand up. So we all search for at least one film that will actually hope to scare us like when we were kids. Some people found that in movies like the Ring, the Sixth Sense and heck even White Noise. It all depends on the persons individual tastes and fears.

For me personally the thought of dealing with something you know very little about really gets under my skin. Ghosts, demons and just the thought of supernatural forces really gave me the creeps as a kid (still does today). Today I got the chance to check out The Exorcism of Emily Rose. A film which surrounds the court case of Father Moore, a priest who is accused of negligent homicide after a failed exorcism. Moore has been claimed responsible for the death of a 19 year old woman said to be possessed by demons. In a battle between faith vs. science, Father Moore is determined to tell the truth about what happened to Emily Rose.

I know how commercials today can fool viewers. In this case what you see in the commercials are in this movie, but there is a lot more to it. There is more to the plot and the story rather than just being about a girl under the control of demons. About 60 percent of the film takes place in a court room and the story of Emily Rose is told in flashbacks from different characters. Most of it is focused on story and the possibility of what really happened. As mentioned before its basically a battle between faith and science. It works really well with this film and I enjoyed almost every scene. The court room scenes are actually pretty entertaining because it keeps you thinking.

I was amazed at how this movie gave me the creeps. It goes to show you that you don't need an R rating for a horror/thriller film to be good. This movie has no gore and very little blood, but thats the beauty of it. Its not meant to be that way at all. Instead its main focus is to scare the audience and show just how dangerous supernatural forces can be. I thought it worked very well and it really got to me in parts. The court room scenes and the other flashbacks hype you up for the main exorcism scene which comes later. When it hits it goes out with a bang. The exorcism scenes are really intense. Truthfully my heart was pounding the entire time they showed the main exorcism scene near the middle of the film. Being scared is great and being creeped out is just as fun.

I don't know that much about the events which inspired this movie, but after seeing it I'm very curious and most likely will be doing my own research about the true events. Overall I had a pretty good time watching this movie. It gave me the creeps in some parts and it really had me thinking. The story is good and the court room stuff is very interesting to watch. My best advice is seeing this film with an open mind. The commercials never show any of the court room stuff, but it's there and it's the main focus of the film. The scares are also there and it's not like any of the past demonic/possession films we've seen in the past. This one is pretty different and its blended with the idea of questioning what is really possible.","Its intense, entertaining and really keeps you thinking",1146528000,,
